Column	Type (as delivered)   	Description
txn_id	string	               Unique transaction identifier
msisdn	string	               Mobile number / SIM that initiated the transaction
reg_id	string	               KYC national-registration id — the entity-resolution linking key
account_name	  string	   Display name on the account
region	string	              Customer home region
segment	string	             Customer segment
txn_time	string	          Transaction timestamp
txn_type	string	           Transaction type
amount	string	              Transaction amount as a raw string
gps_lat	string→float	Latitude of the transaction location
gps_lon	string→float	Longitude of the transaction location
agent_id	string	Agent / channel that processed the transaction
device_id	string	Device identifier
counterparty	string	Counterparty reference
balance_after	float	Account balance after the transaction
manual_review_score	float [0,1]	Fraud-ops manual review score
settlement_status	string	Downstream settlement / reconciliation state
is_fraud	int (0/1)	TARGET: transaction confirmed fraudulent
